spellchecker: disable
Loading repository data...
Reading installed packages...

S  | Name                                          | Summary                                                                            | Type
i  | busybox-static                                | Static linked version of Busybox, a compact UNIX utility collection                | package
i  | bzip2                                         | A Program for Compressing Files                                                    | package
i  | ca-certificates                               | Utilities for system wide CA certificate installation                              | package
i  | ca-certificates-mozilla                       | CA certificates for OpenSSL                                                        | package
i  | cabextract                                    | A Program to Extract Microsoft Cabinet Files                                       | package
i  | canberra-gtk-play                             | Utilities from libcanberra                                                         | package
i  | cantarell-fonts                               | Contemporary Humanist Sans Serif Font                                              | package
i  | catatonit                                     | A signal-forwarding process manager for containers                                 | package
i  | chafa                                         | Image-to-text converter for terminal                                               | package
i  | checkmedia                                    | Check installation or Live media                                                   | package
i  | checkpolicy                                   | SELinux policy compiler                                                            | package
i+ | chrony                                        | System Clock Synchronization Client and Server                                     | package
i  | chrony-pool-openSUSE                          | Chrony preconfiguration for openSUSE                                               | package
i  | cifs-utils                                    | Utilities for doing and managing mounts of the Linux CIFS filesystem               | package
i  | cnf                                           | A command-not-found handler for openSUSE                                           | package
i  | cnf-bash                                      | Integration of cnf with bash                                                       | package
i  | cnf-zsh                                       | Integration of cnf with zsh                                                        | package
i+ | codium                                        | Code editing. Redefined.                                                           | package
i  | colord                                        | System Daemon for Managing Color Devices                                           | package
i  | colord-color-profiles                         | Color profiles for colord                                                          | package
i  | compat-usrmerge-tools                         | UsrMerge tools                                                                     | package
i  | conmon                                        | An OCI container runtime monitor                                                   | package
i  | container-selinux                             | SELinux policies for container runtimes                                            | package
i  | coreutils                                     | GNU Core Utilities                                                                 | package
i  | coreutils-doc                                 | Documentation for the GNU Core Utilities                                           | package
i  | coreutils-systemd                             | GNU Core Utilities                                                                 | package
i  | cpio                                          | A Backup and Archiving Utility                                                     | package
i  | cpio-mt                                       | Tape drive control utility                                                         | package
i  | cpp                                           | The system GNU Preprocessor                                                        | package
i  | cpp15                                         | The GCC Preprocessor                                                               | package
i  | cpupower                                      | Tools to determine and set CPU Power related Settings                              | package
i  | cpupower-bash-completion                      | Bash completion for cpupower                                                       | package
i  | cracklib                                      | Library to crack passwords using dictionaries                                      | package
i  | cracklib-dict-full                            | A Password-Checking Library                                                        | package
i  | criu                                          | Checkpoint/Restore In Userspace Tools                                              | package
i  | crypto-policies                               | System-wide crypto policies                                                        | package
i  | crypto-policies-scripts                       | Tool to switch between crypto policies                                             | package
i+ | cryptsetup                                    | Setup program for dm-crypt Based Encrypted Block Devices                           | package
i  | cryptsetup-doc                                | Cryptsetup Documentation                                                           | package
i  | cups                                          | The Common UNIX Printing System                                                    | package
i  | cups-client                                   | CUPS Client Programs                                                               | package
i  | cups-config                                   | CUPS library configuration files                                                   | package
i  | cups-filters2                                 | OpenPrinting CUPS filters 2.x for CUPS 2.x                                         | package
i  | cups-pk-helper                                | PolicyKit helper to configure cups with fine-grained privileges                    | package
i  | curl                                          | A Tool for Transferring Data from URLs                                             | package
i  | curl-fish-completion                          | Fish completion for curl                                                           | package
i  | curl-zsh-completion                           | Zsh Completion for curl                                                            | package
i  | dbus-1                                        | D-Bus Message Bus System                                                           | package
i  | dbus-1-common                                 | D-BUS message bus configuration                                                    | package
i  | dbus-1-daemon                                 | D-Bus message bus daemon                                                           | package
i  | dbus-1-tools                                  | Tools that go along with dbus                                                      | package
i  | dbus-1-x11                                    | D-Bus Message Bus System                                                           | package
i  | dbus-broker                                   | XDG message bus implementation                                                     | package
i  | dbus-broker-block-restart                     | Restart behavior configuration for dbus-broker - Block restarting                  | package
i  | dconf                                         | Key-based configuration system                                                     | package
i  | dconf-editor                                  | Graphical editor for the dconf key-based configuration system                      | package
i  | debuginfod-client                             | Command line client for build-id HTTP ELF/DWARF server                             | package
i  | debuginfod-profile                            | Profile files for build-id HTTP ELF/DWARF server                                   | package
i  | dejavu-fonts                                  | DejaVu Truetype Fonts                                                              | package
i  | deltarpm                                      | Tools to Create and Apply deltarpms                                                | package
i  | desktop-data-openSUSE                         | Shared Desktop Files for openSUSE                                                  | package
i  | desktop-file-utils                            | Utilities for Manipulating Desktop Files                                           | package
i  | desktop-translations                          | Desktop Files Translations                                                         | package
i+ | device-mapper                                 | Device Mapper Tools                                                                | package
i  | dialog                                        | Menus and Input Boxes for Shell Scripts                                            | package
i  | diffutils                                     | GNU diff Utilities                                                                 | package
i  | dirmngr                                       | Keyserver, CRL, and OCSP access for GnuPG                                          | package
i  | displaymanager-sysconfig                      | Central configuration for Display Managers                                         | package
i  | distribution-logos-openSUSE-icons             | Icons with distribution logos                                                      | package
i  | distribution-logos-openSUSE-Tumbleweed        | Logos for openSUSE Tumbleweed                                                      | package
i+ | distrobox                                     | Use any linux distribution inside your terminal                                    | package
i  | distrobox-bash-completion                     | Bash completion for distrobox                                                      | package
i  | dLeyna                                        | Services and D-Bus APIs to access UPnP and DLNA media devices in a network         | package
i  | dmidecode                                     | DMI table decoder                                                                  | package
i  | dmraid                                        | A Device-Mapper Software RAID Support Tool                                         | package
i  | dnsmasq                                       | DNS Forwarder and DHCP Server                                                      | package
i  | docbook_4                                     | DocBook DTD Version 4.x                                                            | package
i  | documentation                                 | Help and Support Documentation                                                     | pattern
i  | dos2unix                                      | Text converters to and from DOS/MAC to UNIX                                        | package
i+ | dosfstools                                    | Utilities for Making and Checking MS-DOS FAT File Systems on Linux                 | package
i+ | dracut                                        | Event driven initramfs infrastructure                                              | package
i  | dvd+rw-tools                                  | Collection of Tools for Mastering Blu-ray and DVD+-RW/+-R Media                    | package
i+ | e2fsprogs                                     | Utilities for the Second Extended File System                                      | package
i  | efibootmgr                                    | EFI Boot Manager                                                                   | package
i  | efont-unicode-bitmap-fonts                    | Unicode Font by /efont/                                                            | package
i  | elfutils                                      | Higher-level library to access ELF files                                           | package
i  | enchant-2-backend-hunspell                    | Hunspell backend for the Enchant spell checking library                            | package
i  | enchant-data                                  | Data files for libenchant                                                          | package
i+ | enhanced_base                                 | Enhanced Base System                                                               | pattern
i  | envsubst                                      | Environment substitution helper binary                                             | package
i  | ethtool                                       | Utility for examining and tuning Ethernet-based network interfaces                 | package
i  | ethtool-bash-completion                       | Bash completion for ethtool                                                        | package
i  | evince                                        | GNOME Document Viewer                                                              | package
i  | evince-plugin-pdfdocument                     | PDF document support for Evince                                                    | package
i  | evolution                                     | The Integrated GNOME Mail, Calendar, and Address Book Suite                        | package
i  | evolution-data-server                         | Evolution Data Server                                                              | package
i  | evolution-ews                                 | Exchange Connector for Evolution, compatible with Exchange 2007 and later          | package
i  | exfat-utils                                   | Utilities for exFAT file system                                                    | package
i  | expat                                         | XML Parser Toolkit                                                                 | package
i  | f2fs-tools                                    | Utilities for the Flash-friendly Filesystem (F2FS)                                 | package
i+ | fastfetch                                     | Neofetch-like tool written mostly in C                                             | package
i  | fastfetch-bash-completion                     | Bash Completion for fastfetch                                                      | package
i  | fastfetch-fish-completion                     | Fish Completion for fastfetch                                                      | package
i  | fastfetch-zsh-completion                      | Zsh Completion for fastfetch                                                       | package
i  | fdupes                                        | Tool to identify or delete duplicate files                                         | package
i  | feh                                           | X11 image viewer                                                                   | package
i  | feh-zsh-completion                            | ZSH Completion for feh                                                             | package
i  | file                                          | A Tool to Determine File Types                                                     | package
i  | file-magic                                    | Database for libmagic to help identify files                                       | package
i  | filesystem                                    | Basic Directory Layout                                                             | package
i  | fillup                                        | Tool for Merging Config Files                                                      | package
i  | findutils                                     | The GNU versions of find utilities (find and xargs)                                | package
i+ | firewalld                                     | A firewall daemon with D-Bus interface providing a dynamic firewall                | package
i  | firewalld-bash-completion                     | Bash Completion for firewalld                                                      | package
i  | firewalld-zsh-completion                      | Zsh Completion for firewalld                                                       | package
i+ | fish                                          | The "friendly interactive shell"                                                   | package
i  | fixmath                                       | Fixed-point math operations library                                                | package
i  | flatpak                                       | OSTree based application bundles management                                        | package
i  | flatpak-remote-flathub                        | Add Flathub repository to system flatpak                                           | package
i  | flatpak-selinux                               | SELinux policy module for flatpak                                                  | package
i  | flatpak-zsh-completion                        | Zsh tab-completion for flatpak                                                     | package
i  | flute                                         | Java CSS parser using SAC                                                          | package
i  | folks-data                                    | Data files for libfolks, a library to create metacontacts from many sources        | package
i  | fontconfig                                    | Library for Font Configuration                                                     | package
i  | fonts                                         | Fonts                                                                              | pattern
i  | fonts-config                                  | Script to configure fonts for X Windows and other applications                     | package
i+ | foot                                          | A Wayland terminal emulator                                                        | package
i  | fribidi                                       | An implementation of the Unicode BiDi algorithm                                    | package
i  | fuse                                          | Reference implementation of the "Filesystem in Userspace"                          | package
i  | fuse-exfat                                    | exFAT file system implementation                                                   | package
i  | fuse-overlayfs                                | FUSE implementation for overlayfs                                                  | package
i  | fuse3                                         | Reference implementation of the "Filesystem in Userspace"                          | package
i  | fwupd                                         | Device firmware updater daemon                                                     | package
i  | fwupd-bash-completion                         | Bash completion for fwupd                                                          | package
i  | fwupd-efi                                     | Firmware update EFI binaries                                                       | package
i  | fwupd-fish-completion                         | Fish completion for fwupd                                                          | package
i  | gawk                                          | Domain-specific language for text processing                                       | package
i  | gcab                                          | Cabinet file library and tool                                                      | package
i  | gcr-ssh-agent                                 | SSH agent binary for gcr                                                           | package
i  | gcr-ssh-askpass                               | SSH password callback helper for gcr                                               | package
i  | gcr-viewer                                    | Viewer for Crypto Files                                                            | package
i  | gcr3-data                                     | Data and icon set for gcr                                                          | package
i  | gcr3-prompter                                 | Prompt dialog for gcr                                                              | package
i  | gcr3-ssh-askpass                              | SSH password callback helper for gcr                                               | package
i  | gdk-pixbuf-loader-jxl                         | A gdk-pixbuf loader for JPEG-XL using libjxl                                       | package
i  | gdk-pixbuf-loader-libheif                     | GDK PixBuf Loader for libheif                                                      | package
i  | gdk-pixbuf-query-loaders                      | Utility to create a cache of gdk-pixbuf loaders                                    | package
i  | gdm                                           | The GNOME Display Manager                                                          | package
i  | gdm-branding-openSUSE                         | The GNOME Display Manager -- openSUSE default configuration                        | package
i  | gdm-schema                                    | Config schema for GDM                                                              | package
i  | gdm-xdm-integration                           | GDM integration into the xdm wrapper script                                        | package
i  | gdmflexiserver                                | Compatibility Wrapper for Display Managers                                         | package
i  | gegl-0_4                                      | Generic Graphics Library                                                           | package
i  | geoclue2                                      | GeoLocation Framework                                                              | package
i  | geocode-glib                                  | Convenience library for the Yahoo! Place Finder APIs                               | package
i  | gettext-runtime                               | Tools for Native Language Support (NLS)                                            | package
i  | ghostscript                                   | The Ghostscript interpreter for PostScript and PDF                                 | package
i  | ghostscript-fonts-std                         | Basic Fonts for Ghostscript                                                        | package
i  | ghostscript-x11                               | X11 library for Ghostscript                                                        | package
i+ | ghostty                                       | Cross-platform terminal emulator                                                   | package
i  | ghostty-bash-completion                       | Bash Completion for ghostty                                                        | package
i  | ghostty-fish-completion                       | Fish Completion for ghostty                                                        | package
i  | ghostty-neovim                                | Neovim syntax highlighting for ghostty data files                                  | package
i  | ghostty-vim                                   | Vim syntax highlighting for ghostty data files                                     | package
i  | ghostty-zsh-completion                        | Zsh Completion for ghostty                                                         | package
i  | gimp                                          | The GNU Image Manipulation Program                                                 | package
i  | gimp-help                                     | Help System Data for GIMP                                                          | package
i  | gimp-plugin-python3                           | The GNU Image Manipulation Program - python3 goject introspection plugins          | package
i  | gio-branding-openSUSE                         | openSUSE definitions of default settings and applications                          | package
i  | girepository-1_0                              | Base GObject Introspection Bindings                                                | package
i+ | git                                           | Fast, scalable, distributed revision control system                                | package
i  | git-core                                      | Core git tools                                                                     | package
i  | git-email                                     | Git tools for sending email                                                        | package
i  | gjs                                           | JavaScript bindings based on gobject-introspection and Mozilla                     | package
i  | glib-networking                               | Network-related GIO modules for glib                                               | package
i  | glib2-tools                                   | Tools from glib2, a general-purpose utility library                                | package
i+ | glibc                                         | Standard Shared Libraries (from the GNU C Library)                                 | package
i  | glibc-32bit                                   | Standard Shared Libraries (from the GNU C Library)                                 | package
i  | glibc-extra                                   | Extra binaries from GNU C Library                                                  | package
i  | glibc-gconv-modules-extra                     | Non-essential gconv modules                                                        | package
i  | glibc-gconv-modules-extra-32bit               | Non-essential gconv modules                                                        | package
i  | glibc-locale                                  | Locale Data for Localized Programs                                                 | package
i  | glibc-locale-base                             | en_US Locale Data for Localized Programs                                           | package
i  | glycin-loaders                                | Sandboxed image rendering                                                          | package
i+ | gnome                                         | GNOME Desktop Environment (Wayland)                                                | pattern
i  | gnome-backgrounds                             | GNOME Backgrounds                                                                  | package
i  | gnome-bluetooth                               | GNOME Bluetooth graphical utilities                                                | package
i  | gnome-browser-connector                       | GNOME Shell integration for Chrome Extension compatible browsers                   | package
i  | gnome-calculator                              | A GNOME Calculator Application                                                     | package
i  | gnome-characters                              | Character Map                                                                      | package
i  | gnome-chess                                   | Chess Game for GNOME                                                               | package
i  | gnome-clocks                                  | Clock application designed for GNOME 3                                             | package
i  | gnome-color-manager                           | Color management tools for GNOME                                                   | package
i  | gnome-connections                             | A remote desktop client for GNOME                                                  | package
i  | gnome-console                                 | A minimal terminal for GNOME                                                       | package
i  | gnome-contacts                                | Contacts Manager for GNOME                                                         | package
i  | gnome-control-center                          | The GNOME Control Center                                                           | package
i  | gnome-control-center-color                    | Configuration panel for color management                                           | package
i  | gnome-control-center-goa                      | Configuration panel for online accounts                                            | package
i  | gnome-control-center-user-faces               | Login manager user avatars                                                         | package
i  | gnome-control-center-users                    | Configuration panel for User accounts                                              | package
i  | gnome-disk-utility                            | Disks application for dealing with storage devices                                 | package
i  | gnome-extensions                              | Extensions app for GNOME Shell                                                     | package
i  | gnome-keyring                                 | GNOME Keyring                                                                      | package
i  | gnome-keyring-pam                             | GNOME Keyring - PAM module                                                         | package
i  | gnome-logs                                    | GNOME System Log Viewer                                                            | package
i  | gnome-mahjongg                                | Mahjong Solitaire Game for GNOME                                                   | package
i  | gnome-maps                                    | Maps Application for GNOME                                                         | package
i  | gnome-mines                                   | Minesweeper Game for GNOME                                                         | package
i  | gnome-music                                   | Music Player for GNOME                                                             | package
i  | gnome-online-accounts                         | GNOME service to access online accounts                                            | package
i  | gnome-packagekit                              | Applications for the PackageKit API                                                | package
i  | gnome-photos                                  | Photo viewer for GNOME                                                             | package
i  | gnome-remote-desktop                          | GNOME Remote Desktop screen sharing service                                        | package
i  | gnome-session                                 | Session Tools for the GNOME Desktop                                                | package
i  | gnome-settings-daemon                         | Settings daemon for the GNOME desktop                                              | package
i  | gnome-shell                                   | GNOME Shell                                                                        | package
i  | gnome-shell-calendar                          | Evolution Calendar support for GNOME Shell                                         | package
i  | gnome-shell-search-provider-contacts          | Contacts Manager for GNOME -- Search Provider for GNOME Shell                      | package
i  | gnome-shell-search-provider-gnome-calculator  | GNOME Calculator -- Search Provider for GNOME Shell                                | package
i  | gnome-shell-search-provider-gnome-characters  | GNOME Characters -- Search Provider for GNOME Shell                                | package
i  | gnome-shell-search-provider-gnome-clocks      | GNOME Clocks -- Search Provider for GNOME Shell                                    | package
i  | gnome-shell-search-provider-gnome-photos      | GNOME Photos -- Search Provider for GNOME Shell                                    | package
i  | gnome-shell-search-provider-gnome-weather     | GNOME Weather -- Search Provider for GNOME Shell                                   | package
i  | gnome-shell-search-provider-nautilus          | File Manager for the GNOME Desktop -- Search Provider for GNOME Shell              | package
i  | gnome-shell-search-provider-seahorse          | GNOME interface for gnupg -- Search Provider for GNOME Shell                       | package
i  | gnome-software                                | GNOME Software Store                                                               | package
i  | gnome-software-plugin-packagekit              | GNOME Software Store - PackageKit plugin                                           | package
i  | gnome-sudoku                                  | Sudoku Game for GNOME                                                              | package
i  | gnome-system-monitor                          | A process monitor for the GNOME desktop                                            | package
i  | gnome-text-editor                             | GNOME Text Editor                                                                  | package
i  | gnome-themes-accessibility                    | Accessibility GNOME Themes                                                         | package
i  | gnome-tour                                    | GNOME Tour & Greeter                                                               | package
i  | gnome-tour-data                               | GNOME Tour data                                                                    | package
i  | gnome-tweaks                                  | A tool to customize advanced GNOME 3 options                                       | package
i  | gnome-user-docs                               | GNOME Desktop Documentation                                                        | package
i  | gnome-user-share                              | GNOME user file sharing                                                            | package
i  | gnome-weather                                 | Weather App for GNOME                                                              | package
i  | gnome_basic                                   | GNOME Desktop Environment (Basic)                                                  | pattern
i  | gnuchess                                      | GNU Chess Program                                                                  | package
i  | google-carlito-fonts                          | Sans-serif Font Metrics-compatible with Calibri                                    | package
i  | google-noto-coloremoji-fonts                  | Noto Color Emoji font                                                              | package
i  | google-noto-sans-arabic-fonts                 | Noto Arabic Sans Serif Font                                                        | package
i  | google-noto-sans-cjk-fonts                    | Noto Sans CJK Font                                                                 | package
